5033419560201 26.0  8.5  0.009999-99.9-99.9-99.9-99.912.1 87-9.9-99-99.9 -99-99.927.5-9.9
5033419560202 32.3 12.7  0.009999-99.9-99.9-99.9-99.911.6 84-9.9-99-99.9 -99-99.926.7-9.9
5033419560203 33.2 16.4  0.009999-99.9-99.9-99.9-99.911.0 80-9.9-99-99.9 -99-99.925.7-9.9
5033419560204 31.5 19.5  0.819999-99.9-99.9-99.9-99.9 4.5 32-9.9-99-99.9 -99-99.914.7-9.9
5033419560205 25.4 14.3  0.009999-99.9-99.9-99.9-99.9 8.7 63-9.9-99-99.9 -99-99.921.7-9.9
5033419560206 26.3  5.8  0.009999-99.9-99.9-99.9-99.912.1 88-9.9-99-99.9 -99-99.927.2-9.9
5033419560207 29.4 12.7  0.009999-99.9-99.9-99.9-99.911.1 81-9.9-99-99.9 -99-99.925.5-9.9
5033419560208 31.5 15.6  0.009999-99.9-99.9-99.9-99.910.4 76-9.9-99-99.9 -99-99.924.3-9.9
5033419560209 34.2 20.1  0.009999-99.9-99.9-99.9-99.910.4 76-9.9-99-99.9 -99-99.924.2-9.9
5033419560210 33.5 18.1  0.009999-99.9-99.9-99.9-99.911.1 82-9.9-99-99.9 -99-99.925.4-9.9
5033419560211 33.0 17.4  0.009999-99.9-99.9-99.9-99.910.0 74-9.9-99-99.9 -99-99.923.5-9.9
5033419560212 34.0 15.8  3.619999-99.9-99.9-99.9-99.9 9.8 72-9.9-99-99.9 -99-99.922.9-9.9
5033419560213 27.4 14.8  0.009999-99.9-99.9-99.9-99.910.8 80-9.9-99-99.9 -99-99.924.6-9.9
5033419560214 29.5  7.2  0.009999-99.9-99.9-99.9-99.9 9.6 71-9.9-99-99.9 -99-99.922.5-9.9
5033419560215 27.9  7.7  0.009999-99.9-99.9-99.9-99.910.8 81-9.9-99-99.9 -99-99.924.5-9.9
5033419560216 32.6 15.9  0.009999-99.9-99.9-99.9-99.911.6 87-9.9-99-99.9 -99-99.925.7-9.9
5033419560217 34.8 18.2  0.009999-99.9-99.9-99.9-99.911.1 83-9.9-99-99.9 -99-99.924.7-9.9
5033419560218 34.9 14.1  0.009999-99.9-99.9-99.9-99.910.4 78-9.9-99-99.9 -99-99.923.5-9.9
5033419560219 35.1 19.4 26.319999-99.9-99.9-99.9-99.9 4.3 32-9.9-99-99.9 -99-99.913.7-9.9
5033419560220 28.7 18.4  5.419999-99.9-99.9-99.9-99.9 6.6 50-9.9-99-99.9 -99-99.917.4-9.9
5033419560221 24.0 11.9  0.009999-99.9-99.9-99.9-99.9 5.3 40-9.9-99-99.9 -99-99.915.2-9.9
5033419560222 24.8  6.7  0.009999-99.9-99.9-99.9-99.910.5 80-9.9-99-99.9 -99-99.923.4-9.9
5033419560223 29.4 10.3 16.219999-99.9-99.9-99.9-99.910.3 78-9.9-99-99.9 -99-99.922.8-9.9
5033419560224 27.5 10.1  0.009999-99.9-99.9-99.9-99.910.2 78-9.9-99-99.9 -99-99.922.7-9.9
5033419560225 28.0 16.1  0.009999-99.9-99.9-99.9-99.9 7.2 55-9.9-99-99.9 -99-99.917.9-9.9
5033419560226 30.0 14.3  4.219999-99.9-99.9-99.9-99.910.3 79-9.9-99-99.9 -99-99.922.6-9.9
5033419560227 27.0 15.2  8.319999-99.9-99.9-99.9-99.9 3.8 29-9.9-99-99.9 -99-99.912.4-9.9
5033419560228 23.9 12.5  0.009999-99.9-99.9-99.9-99.911.4 88-9.9-99-99.9 -99-99.924.1-9.9
5033419560229 31.0 10.7  0.009999-99.9-99.9-99.9-99.911.9 92-9.9-99-99.9 -99-99.924.7-9.9
5033419560301 33.0 12.9  0.009999-99.9-99.9-99.9-99.910.8 84-9.9-99-99.9 -99-99.923.0-9.9
5033419560302 34.0 13.5  0.009999-99.9-99.9-99.9-99.910.9 85-9.9-99-99.9 -99-99.923.0-9.9
5033419560303 32.0 19.9  0.009999-99.9-99.9-99.9-99.9 5.9 46-9.9-99-99.9 -99-99.915.3-9.9
5033419560304 30.4 17.1  0.009999-99.9-99.9-99.9-99.9 3.9 30-9.9-99-99.9 -99-99.912.1-9.9
5033419560305 34.0 15.6  0.009999-99.9-99.9-99.9-99.910.4 82-9.9-99-99.9 -99-99.922.0-9.9
5033419560306 27.6 17.4 27.819999-99.9-99.9-99.9-99.9 3.5 27-9.9-99-99.9 -99-99.911.4-9.9
5033419560307 28.8 12.4  0.009999-99.9-99.9-99.9-99.910.8 86-9.9-99-99.9 -99-99.922.4-9.9
5033419560308 31.8 16.6  0.009999-99.9-99.9-99.9-99.910.3 82-9.9-99-99.9 -99-99.921.5-9.9
5033419560309 33.4 20.7 10.219999-99.9-99.9-99.9-99.9 9.0 72-9.9-99-99.9 -99-99.919.5-9.9
5033419560310 32.0 17.7 91.619999-99.9-99.9-99.9-99.9 3.6 28-9.9-99-99.9 -99-99.911.2-9.9
5033419560311 26.0 13.1 22.019999-99.9-99.9-99.9-99.9 3.8 30-9.9-99-99.9 -99-99.911.5-9.9
5033419560312 19.0 12.2  0.009999-99.9-99.9-99.9-99.9 4.3 34-9.9-99-99.9 -99-99.912.1-9.9
5033419560313 22.0 10.8  0.009999-99.9-99.9-99.9-99.9 3.0 24-9.9-99-99.9 -99-99.910.2-9.9
5033419560314 27.3 11.5  0.009999-99.9-99.9-99.9-99.9 7.0 56-9.9-99-99.9 -99-99.915.9-9.9
5033419560315 30.6 17.1  0.009999-99.9-99.9-99.9-99.9 5.8 47-9.9-99-99.9 -99-99.914.2-9.9
5033419560316 23.0  9.6  0.009999-99.9-99.9-99.9-99.9 6.6 54-9.9-99-99.9 -99-99.915.3-9.9
5033419560317 26.0  9.6  0.009999-99.9-99.9-99.9-99.9 6.2 50-9.9-99-99.9 -99-99.914.5-9.9
5033419560318 29.5 13.6  0.009999-99.9-99.9-99.9-99.9 6.7 55-9.9-99-99.9 -99-99.915.2-9.9
5033419560319 29.5 15.7  0.009999-99.9-99.9-99.9-99.9 5.6 46-9.9-99-99.9 -99-99.913.5-9.9
5033419770606 14.6  8.8  0.009900  7.7-99.9-99.9-99.9 0.0  012.3 84 10.0   2  1.6 2.9 0.5
5033419770607 16.1 12.2  0.009900 11.3-99.9-99.9-99.9 0.0  014.4 91 12.4   4  3.2 2.9 0.6
5033419770608 21.0 13.2  0.009900 12.0-99.9-99.9-99.9 0.4  416.0 79 14.0  12  9.6 3.2 1.1
5033419770609 23.7 11.4  0.009900 10.0-99.9-99.9-99.9 2.4 2514.4 80 12.4   5  4.0 5.0 1.1
5033419770610 15.2  1.4  0.009900 -0.1-99.9-99.9-99.9 5.4 55 7.7 75  3.2   4  3.2 7.6 0.6
5033419770611 18.5  4.4  0.009900  0.4-99.9-99.9-99.9 3.5 36 9.6 71  6.4  22 17.6 5.9 1.6
5033419770612 23.3 10.2  0.009900  9.4-99.9-99.9-99.9 3.9 4013.5 78 11.4   6  4.8 6.2 1.1
5033419770613 21.3  7.2  0.009900  5.1-99.9-99.9-99.9 7.3 75 8.5 57  4.6  11  8.8 9.2 1.8
5033419770614 13.7  3.4  5.919900  2.6-99.9-99.9-99.9 0.0  010.0 84  7.0   4  3.2 2.8 0.5
5033419770615 13.9 -0.3  0.009900 -1.2-99.9-99.9-99.9 2.2 23 6.2 59  0.2   9  7.2 4.8 1.1
5033419770616 17.5 -0.8  0.009900 -1.7-99.9-99.9-99.9 4.4 45 6.2 61  0.2  16 12.8 6.6 1.7
5033419770617 12.8  4.2  0.009900  3.7-99.9-99.9-99.9 0.2  2 6.1 66  0.0   5  4.0 3.0 1.2
5033419770618 17.8 -0.8  0.009900 -2.3-99.9-99.9-99.9 5.8 60 5.5 56 -1.4  17 13.6 7.9 2.0
5033419770619  9.3  2.6  7.319900  2.0-99.9-99.9-99.9 0.0  0 6.2 72  0.2   0  0.0 2.8 0.6
5033419770620  4.5  1.2  3.319900  0.5-99.9-99.9-99.9 0.0  0 7.1 96  2.1  11  8.8 2.8 0.4
5033419770621  7.1  0.6  0.009900  0.3-99.9-99.9-99.9 3.0 31 5.9 79 -0.5   1  0.8 5.4 0.4
5033419770622  8.1 -4.7  0.009900 -7.1-99.9-99.9-99.9 2.3 24 5.4 71 -1.7  13 10.4 4.8 0.7
5033419770623  8.0  0.9  0.009900  0.8-99.9-99.9-99.9 0.0  0 6.8 81  1.5   4  3.2 2.8 0.6
5033419770624 11.3 -1.1  0.009900 -2.7-99.9-99.9-99.9 3.6 37 7.3 86  2.5   1  0.8 5.9 0.3
5033419770625 12.6 -3.5  0.009900 -4.8-99.9-99.9-99.9 3.2 33 7.1 77  2.1  14 11.2 5.6 0.6
5033419770626 14.3  3.0  0.009900  1.5-99.9-99.9-99.9 5.7 59 7.6 79  3.0  16 12.8 7.8 1.3
5033419770627 18.3 -1.3  0.009900 -2.5-99.9-99.9-99.9 6.5 67 7.0 66  1.9   5  4.0 8.5 0.8
5033419770628 18.6 -0.8  0.009900 -2.3-99.9-99.9-99.9 5.9 61 6.3 54  0.4  13 10.4 8.0 1.5
5033419770629 17.4  3.5  0.009900  2.6-99.9-99.9-99.9 0.0  011.6 84  9.2  11  8.8 2.8 0.6
5033419770630 18.5 11.3  3.019900 10.3-99.9-99.9-99.9 0.0  015.6 94 13.6   8  6.4 2.8 0.6
5033419770701 18.3  2.3  0.009900 -1.7-99.9-99.9-99.9 5.8 60 9.9 74  6.8   6  4.8 8.0 0.5
5033419770702 14.4  7.8  0.009900  6.7-99.9-99.9-99.9 5.0 51 6.5 55  0.9  23 18.4 7.2 2.8
5033419770703 14.1 -2.0  0.009900 -3.4-99.9-99.9-99.9 6.8 70 5.2 60 -2.2   1  0.8 8.9 0.6
5033419770704 15.3 -1.6  0.009900 -3.6-99.9-99.9-99.9 5.1 52 5.1 47 -2.5   8  6.4 7.4 1.2
5033419770705 13.9 -4.3  0.009900 -5.4-99.9-99.9-99.9 5.8 59 5.6 67 -1.2   3  2.4 8.0 0.5
5033419770706 15.2 -3.8  0.009900 -5.0-99.9-99.9-99.9 7.2 74 6.7 70  1.3   5  4.0 9.3 0.5
5033419770707 20.4  0.2  0.009900 -4.0-99.9-99.9-99.9 7.4 76 6.6 51  1.1   1  0.8 9.6 0.7
5033419770708 14.8  3.4  0.009900  2.4-99.9-99.9-99.9 4.4 45 8.1 72  3.9  16 12.8 6.9 1.2
5033419770709 14.5  1.4  0.009900  1.7-99.9-99.9-99.9 4.2 43 8.7 80  5.0   5  4.0 6.7 0.5
5033419770710 12.3  9.4  0.319900  8.4-99.9-99.9-99.9 0.0  011.8 99  9.4   3  2.4 2.9 0.5
5033419770711 12.1  6.7  0.009900  5.7-99.9-99.9-99.9 0.0  010.9 98  8.2   1  0.8 2.9 0.4
5033419770712 12.5  4.4  0.009900  3.4-99.9-99.9-99.9 1.9 19 9.3 84  5.9   8  6.4 4.7 0.6
5033419770713  8.7  5.2  0.619900  4.9-99.9-99.9-99.9 0.0  0 8.3 87  4.3  11  8.8 3.0 0.8
5033419770714 15.0 -1.6  0.009900 -3.3-99.9-99.9-99.9 6.6 67 5.2 57 -2.2   6  4.8 9.1 1.0
5033419770715  9.7  1.0  0.009900 -0.7-99.9-99.9-99.9 6.9 70 4.9 63 -3.0  29 23.2 9.4 2.4
5033419770716 19.0 -4.2  0.009900 -5.2-99.9-99.9-99.9 4.2 42 4.3 43 -4.7  22 17.6 6.9 2.7
5033419770717 19.1  2.4  0.009900 -0.9-99.9-99.9-99.9 6.8 68 7.0 58  1.9  16 12.8 9.3 1.9
5033419770718 19.0 -0.4  0.009900 -1.9-99.9-99.9-99.9 7.0 70 6.7 60  1.3  14 11.2 9.6 1.6
5033419770719 17.2  7.6  0.009900  0.1-99.9-99.9-99.9 3.4 34 8.4 63  4.5  26 20.8 6.3 2.7
5033419770720 18.4  3.8  0.009900  3.0-99.9-99.9-99.9 4.4 44 9.0 71  5.4   6  4.8 7.3 1.0
5033419770721 10.3  4.0  0.009900  2.9-99.9-99.9-99.9 0.0  0 9.6 97  6.4   0  0.0 3.1 0.4
5033419770722 14.2  1.6  7.019900 -0.3-99.9-99.9-99.9 0.0  010.4 83  7.5   5  4.0 3.1 0.4
5033419770723 16.0  3.6  0.009900  2.2-99.9-99.9-99.9 8.0 79 7.0 69  1.9  14 11.210.8 1.6
5033419770724 16.6 -0.8  0.009900 -1.6-99.9-99.9-99.9 2.8 28 6.1 53  0.0  16 12.8 5.9 1.8
5033419770725 21.0  7.3  0.009900  6.9-99.9-99.9-99.9 6.4 63 6.9 50  1.7   7  5.6 9.4 1.7
5033419770726 19.6 -2.3  0.009900 -4.8-99.9-99.9-99.9 7.6 75 6.8 62  1.5   8  6.410.7 1.0
5033419770727 18.3  2.0  0.009900 -0.3-99.9-99.9-99.9 8.7 85 8.4 76  4.5  10  8.011.8 1.1
5033419770728 15.6  5.0  1.219900  3.6-99.9-99.9-99.9 0.0  013.3 93 11.2  22 17.6 3.3 0.4
5033419770729 16.6  9.0  0.009900  7.9-99.9-99.9-99.9 6.0 59 8.4 65  4.5  20 16.0 9.3 2.4
5033419770730 15.2 -3.2  0.009900 -4.4-99.9-99.9-99.9 5.4 53 4.8 57 -3.3   6  4.8 8.8 1.1
5033419770731 18.8  1.2  0.009900  0.5-99.9-99.9-99.9 4.6 45 5.2 47 -2.2  10  8.0 8.0 1.9
5033419770801 13.3  2.2  0.009900  1.2-99.9-99.9-99.9 9.6 93 5.0 52 -2.7  12  9.613.1 1.7
5033419770802 16.9  1.4  0.009900  0.3-99.9-99.9-99.9 6.4 62 5.6 47 -1.2  19 15.210.0 2.4
5033419770803 19.2  1.7  0.009900  0.9-99.9-99.9-99.9 6.2 60 7.9 66  3.6   6  4.8 9.8 1.1
5033419770804 19.6 -1.0  0.009900 -1.6-99.9-99.9-99.9 7.7 74 7.9 71  3.6   5  4.011.4 0.9
5033419770805 14.4  3.0  5.019900  1.9-99.9-99.9-99.9 0.0  0 9.8 83  6.7  18 14.4 3.5 1.0
5033419770806 13.3  6.0  3.019900  5.0-99.9-99.9-99.9 1.5 1411.0 93  8.4   6  4.8 5.1 0.6
5033419770807 12.6  7.4  1.219900  6.4-99.9-99.9-99.9 0.0  012.7100 10.5   3  2.4 3.6 0.5
5033419770808 11.0  8.4  0.009900  7.7-99.9-99.9-99.9 0.0  010.5 94  7.7  12  9.6 3.6 0.9
5033419770809 13.3  3.7  0.009900  3.3-99.9-99.9-99.9 0.0  011.7 93  9.3   9  7.2 3.7 0.4
5033419770810 12.9 10.7  0.819900 10.0-99.9-99.9-99.9 0.0  013.0 94 10.9   6  4.8 3.7 0.7
5033419770811 15.7  8.2  3.019900  7.5-99.9-99.9-99.9 3.5 3310.9 77  8.2  16 12.8 7.5 1.5
5033419770812 13.9  2.2  0.009900  1.3-99.9-99.9-99.9 6.5 61 5.8 52 -0.7  31 24.810.8 3.1
5033419770813 12.3  0.4  0.009900  0.0-99.9-99.9-99.9 4.0 37 5.5 59 -1.4  25 20.0 8.1 2.4
5033419770814 15.2 -2.3  0.009900 -3.1-99.9-99.9-99.9 1.7 16 5.9 61 -0.5   0  0.0 5.7 0.9
5033419770815 20.4 -0.8  0.009900 -1.8-99.9-99.9-99.9 7.8 73 6.7 53  1.3  13 10.412.6 1.9
5033419770816 21.4  2.3  0.009900  1.1-99.9-99.9-99.9 8.4 78 7.0 48  1.9   8  6.413.3 1.8
5033419770817 18.1  2.2  0.009900  1.7-99.9-99.9-99.910.8100 7.4 58  2.7   1  0.816.1 1.1
5033419770818 21.7  2.2  0.009900  1.7-99.9-99.9-99.9 6.7 62 8.1 55  3.9  12  9.611.6 2.0
5033419770819 25.0  5.9  0.009900  5.1-99.9-99.9-99.9 7.6 70 7.4 45  2.7  18 14.412.7 3.4
5033419770820 20.3  8.2  0.009900  6.9-99.9-99.9-99.9 6.4 59 9.0 58  5.4   8  6.411.4 2.0
5033419770821 15.5  4.2  0.009900  3.6-99.9-99.9-99.9 6.6 60 9.3 79  5.9   6  4.811.7 1.2
5033419770822 24.8  2.7  0.009900  1.1-99.9-99.9-99.9 9.4 86 7.8 49  3.4  13 10.415.1 2.6
5033419770823 20.0  0.2  0.009900 -1.3-99.9-99.9-99.9 9.6 87 8.0 60  3.8   1  0.815.4 1.2
5033419770824 26.7  6.7  0.009900  4.5-99.9-99.9-99.910.0 91 8.4 42  4.5  16 12.816.0 3.4
5033419770825 27.8  8.7  0.009900  6.4-99.9-99.9-99.9 9.8 89 9.5 49  6.2  16 12.815.9 3.6
5033419770826 21.4 11.0  0.009900  9.3-99.9-99.9-99.9 5.2 4711.1 62  8.5  17 13.610.5 2.9
5033419770827 20.4  8.8  0.009900  7.9-99.9-99.9-99.9 8.0 7211.2 71  8.6   4  3.214.0 1.7
5033419770828 26.4  8.4  0.009900  7.9-99.9-99.9-99.9 8.3 7414.0 73 12.0  18 14.414.4 2.8
5033419770829 23.4 12.6 10.019900 11.9-99.9-99.9-99.9 0.4  410.6 53  7.8   6  4.8 5.0 2.2
5033419770830 20.4  5.2  0.009900  4.9-99.9-99.9-99.9 9.8 87 8.4 59  4.5   6  4.816.4 2.0
5033419770831 13.8 -0.2  0.009900 -1.4-99.9-99.9-99.9 9.4 83 4.6 48 -3.8   8  6.416.1 1.9
5033419770901 17.4  0.6  0.009900 -3.9-99.9-99.9-99.9 7.3 65 4.9 39 -3.0  16 12.813.7 2.9
5033419770902 25.1  2.8  0.009900  1.9-99.9-99.9-99.9 9.8 86 7.2 43  2.3   4  3.216.8 2.1
5033419770903 27.1  5.2  0.009900  4.1-99.9-99.9-99.910.1 8910.1 58  7.1   6  4.817.4 2.4
5033419770904 20.1  4.0  0.009900  3.4-99.9-99.9-99.910.5 92 8.8 64  5.1   8  6.418.0 2.2
5033419770905 21.3  3.6  0.009900  1.5-99.9-99.9-99.9 9.8 8610.1 61  7.1  22 17.617.3 2.9
5033419770906 21.9  8.2  0.009900  7.3-99.9-99.9-99.9 9.8 8510.8 64  8.1  11  8.817.3 2.7
5033419770907 24.1  7.4  0.009900  6.5-99.9-99.9-99.9 4.4 3811.7 69  9.3   7  5.610.5 2.1
5033419770908 25.4  8.4  0.009900  7.7-99.9-99.9-99.9 9.3 80 8.9 49  5.3  14 11.216.9 3.6
5033419770909 22.3  9.4  0.009900  8.6-99.9-99.9-99.9 6.3 54 5.7 34 -1.0  10  8.013.1 3.3
5033419770910 19.5  3.2  0.009900  1.9-99.9-99.9-99.9 0.8  7 7.0 48  1.9  16 12.8 6.0 2.7
5033419770911 18.1 10.0  0.009900  8.9-99.9-99.9-99.9 0.0  010.0 70  7.0   8  6.4 5.0 1.9
5033419770912 21.5  3.8  0.009900  3.0-99.9-99.9-99.9 5.1 44 9.9 65  6.8   5  4.011.9 1.9
5033419770913 20.0  5.7  0.009900  4.9-99.9-99.9-99.9 1.9 16 7.0 45  1.9  11  8.8 7.6 2.7
5033419770914 24.0  2.2  0.009900 -1.3-99.9-99.9-99.910.0 85 7.7 38  3.2   9  7.218.6 2.8
5033419770915 22.3  6.7  0.009900  5.9-99.9-99.9-99.9 6.2 52 7.8 47  3.4   9  7.213.5 2.9
5033419770916 16.1  2.8  1.019900  2.1-99.9-99.9-99.9 0.3  3 8.7 67  5.0   3  2.4 5.7 1.2
5033419770917 22.3  3.2  0.009900 -0.7-99.9-99.9-99.9 8.8 74 9.3 57  5.9   3  2.417.3 2.2
5033419770918 25.5  7.7  0.009900  6.9-99.9-99.9-99.9 8.5 71 8.5 46  4.6  11  8.816.9 3.5
5033419770919 24.3 10.2  4.219900  9.1-99.9-99.9-99.9 1.7 1411.0 52  8.4  22 17.6 7.7 3.8
5033419770920 24.4  7.8  0.009900  6.3-99.9-99.9-99.9 6.6 5511.7 67  9.3   3  2.414.6 2.3
5033419770921 25.9 12.0  0.009900 10.9-99.9-99.9-99.9 2.8 2316.9 73 14.9   4  3.2 9.3 2.0
5033419770922 21.1 13.2  2.019900 12.6-99.9-99.9-99.9 0.8  714.8 82 12.8   1  0.8 6.7 1.5
5033419770923 20.4  4.2  0.009900  3.4-99.9-99.9-99.9 7.7 6410.6 70  7.8   8  6.416.5 2.3
5033419770924 29.6  8.0  0.009900  6.7-99.9-99.9-99.9 4.9 4012.2 54  9.9  16 12.812.5 3.8
5033419770925 32.5 11.8  0.009900 11.4-99.9-99.9-99.9 2.1 1712.3 42 10.0   7  5.6 8.6 3.2
5033419770926 33.5 16.2  4.019900 15.4-99.9-99.9-99.9 5.6 4614.4 51 12.4  14 11.213.7 4.8
5033419770927 21.4 12.7  0.009900 11.9-99.9-99.9-99.9 0.8  7 7.6 43  3.0  10  8.0 7.0 3.3
5033419770928 20.9  6.0  0.009900  4.9-99.9-99.9-99.9 7.5 61 6.9 40  1.7  22 17.616.6 4.6
5033419770929 20.7  1.6  0.009900 -0.9-99.9-99.9-99.9 4.7 38 6.9 49  1.7  13 10.412.6 3.0
5033419770930 25.8  6.8  0.009900  5.9-99.9-99.9-99.9 1.5 12 9.0 44  5.4  24 19.2 8.1 4.5
5033419771001 24.9 11.4  0.009900 10.9-99.9-99.9-99.9 1.5 1211.5 56  9.0  16 12.8 8.1 3.5
5033419771002 24.3 11.6 21.619900 11.3-99.9-99.9-99.9 0.0  017.7 83 15.6  24 19.2 6.0 2.0
5033419771003 18.6 10.8  8.019900  9.9-99.9-99.9-99.9 0.0  012.4 93 10.1  41 32.8 6.0 3.5
5033419771004 23.3  7.2  0.009900  5.9-99.9-99.9-99.9 8.2 6510.9 54  8.2  19 15.218.1 3.9
5033419771005 25.8 12.4  0.009900 11.9-99.9-99.9-99.9 1.7 1412.6 54 10.4  26 20.8 8.7 4.5
5033419771006 30.8 15.7 87.219900 14.4-99.9-99.9-99.9 8.7 6920.9 69 18.2  11  8.819.2 4.2
5033419771007 24.0 13.0  0.009900 13.7-99.9-99.9-99.9 2.0 1616.0 89 14.0  27 21.6 9.2 3.3
5033419771008 18.5  8.6  0.009900  6.4-99.9-99.9-99.9 6.4 50 8.5 58  4.6   6  4.815.8 2.9
5033419771009 15.3  9.0  0.009900  8.4-99.9-99.9-99.9 0.0  0 8.5 60  4.6   3  2.4 6.3 1.8
5033419771010 12.5  4.2  0.009900  2.7-99.9-99.9-99.9 6.3 49 8.1 69  3.9  10  8.015.8 2.3
5033419771011 14.6  0.2  0.009900 -2.7-99.9-99.9-99.911.6 91 8.4 66  4.5   6  4.824.1 2.5
5033419771012 20.4  4.2  0.009900  3.4-99.9-99.9-99.9 7.0 55 9.4 58  6.1  34 27.217.2 4.5
5033419771013 24.2  8.4  2.019900  7.9-99.9-99.9-99.9 7.8 6112.3 63 10.0  27 21.618.5 4.6
5033419771014 18.6 11.3  0.009900 10.4-99.9-99.9-99.9 0.6  512.4 85 10.1  11  8.8 7.5 2.2
5033419771015 20.4  7.2  0.009900  5.9-99.9-99.9-99.910.2 79 7.3 44  2.5  29 23.222.4 5.9
5033419771016 25.4  4.7  0.009900  3.9-99.9-99.9-99.913.2100 9.4 45  6.1  11  8.826.7 4.4
5033419771017 30.7 10.4  0.009900  8.9-99.9-99.9-99.910.7 8211.6 43  9.2  14 11.223.2 5.4
5033419771018 30.2 12.0  0.009900 10.7-99.9-99.9-99.9 8.0 6113.6 50 11.5  10  8.019.1 4.5
5033419771019 33.5 12.7  0.009900 12.3-99.9-99.9-99.9 8.4 6414.9 49 12.9  12  9.619.8 5.1
5033419771020 37.0 17.2  0.009900 16.4-99.9-99.9-99.9 5.0 3815.2 39 13.2  16 12.814.6 5.9
5033419771021 32.6 17.0  4.019900 15.9-99.9-99.9-99.9 9.9 7518.9 55 16.6   7  5.622.4 5.0
5033419771022 26.0 13.7 25.019900 12.9-99.9-99.9-99.9 0.4  317.2 90 15.1  24 19.2 7.5 3.2
5033419771023 17.0 13.6  1.319900 13.0-99.9-99.9-99.9 0.0  015.7 95 13.7  13 10.4 6.9 1.6
5033419771024 19.6 13.0  0.619900 12.2-99.9-99.9-99.9 0.0  017.3 94 15.2  16 12.8 6.9 1.6
5033419771025 25.6 14.2  0.009900 14.3-99.9-99.9-99.9 6.5 4918.7 84 16.4   8  6.417.3 3.4
5033419771026 28.0 12.7  0.009900 13.1-99.9-99.9-99.910.3 7720.3 79 17.7   7  5.623.4 4.2
5033419771027 31.9 15.9  0.009900 14.9-99.9-99.9-99.9 8.7 6521.5 70 18.7  13 10.421.0 4.9
5033419771028 30.3 18.1  0.009900 17.0-99.9-99.9-99.9 8.9 6620.4 62 17.8   9  7.221.3 4.9
5033419771029 32.1 17.2  0.009900 16.5-99.9-99.9-99.9 6.8 5119.4 59 17.0  20 16.018.1 5.6
5033419771030 34.4 19.4  0.719900 18.3-99.9-99.9-99.9 1.7 1322.1 62 19.1  12  9.610.0 4.0
5033419771031 24.5 17.0 18.019900 16.8-99.9-99.9-99.9 1.2  920.0 96 17.5   7  5.6 9.1 2.3
5033419771101 24.7 13.7  0.009900 13.0-99.9-99.9-99.9 5.2 3816.1 75 14.1   3  2.415.6 3.1
5033419771102 22.1  9.4  0.009900  8.3-99.9-99.9-99.9 9.2 6811.7 62  9.3  13 10.422.3 4.3
5033419771103 19.5  6.4  0.009900  5.3-99.9-99.9-99.9 2.6 1911.7 69  9.3   9  7.211.5 2.3
5033419771104 24.6  8.3  0.009900  7.8-99.9-99.9-99.9 1.6 1211.7 53  9.3  25 20.010.0 4.1
5033419771105 26.3 14.3  0.009900 13.6-99.9-99.9-99.9 1.5 1114.9 62 12.9  19 15.2 9.8 4.0
5033419771106 30.0 12.2  0.009900 11.5-99.9-99.9-99.9 1.9 1414.3 52 12.3  19 15.210.5 4.5
5033419771107 32.5 15.2 50.019900 13.9-99.9-99.9-99.9 0.0  017.8 51 15.7  30 24.0 7.4 5.2
5033419771108 28.4  9.7  0.009900  8.8-99.9-99.9-99.9 8.6 62 8.2 46  4.1  18 14.421.5 6.2
5033419771109 23.3  9.6  0.009900  8.9-99.9-99.9-99.9 9.4 6810.8 48  8.1   4  3.222.9 4.0
5033419771110 25.9 11.0  0.009900  9.9-99.9-99.9-99.9 6.7 4810.4 46  7.5  10  8.018.5 4.5
5033419771111 23.6  8.6  0.009900  7.5-99.9-99.9-99.911.4 82 8.4 38  4.5  19 15.226.3 6.0
5033419771112 24.1  7.0  0.009900  5.8-99.9-99.9-99.9 6.6 48 8.6 42  4.8  11  8.818.6 4.3
5033419771113 30.4 11.4  0.009900 10.5-99.9-99.9-99.9 5.5 4013.1 45 11.0  24 19.216.8 6.0
5033419771114 34.1 16.8  0.009900 15.9-99.9-99.9-99.9 9.2 6614.9 40 12.9  11  8.822.9 6.1
5033419771115 33.6 20.2  0.009900 19.4-99.9-99.9-99.9 4.1 2913.2 40 11.1   1  0.814.4 3.9
5033419771116 34.3 11.6  0.009900  9.7-99.9-99.9-99.9 4.2 3015.7 44 13.7   2  1.614.7 3.5
5033419771117 38.0 19.2  0.319900 18.4-99.9-99.9-99.9 5.5 3916.5 47 14.5   7  5.616.8 5.3
5033419771118 26.6 13.4  9.819900 18.4-99.9-99.9-99.9 0.0  016.8 89 14.8   2  1.6 7.7 2.1
5033419771119 25.6 10.1  0.009900  9.1-99.9-99.9-99.9 5.0 3615.1 66 13.1   6  4.816.2 3.3
5033419771120 31.5 15.7  1.619900 14.5-99.9-99.9-99.9 6.6 4717.3 53 15.2  21 16.818.9 6.0
5033419771121 24.0 12.2  0.009900 11.0-99.9-99.9-99.9 5.5 39 7.3 33  2.5  30 24.017.0 7.5
5033419771122 27.6  7.7  0.009900  6.9-99.9-99.9-99.9 9.7 69 8.6 32  4.8   6  4.824.2 4.7
5033419771123 23.0 14.2  1.019900 12.9-99.9-99.9-99.9 0.0  013.3 64 11.2   3  2.4 7.8 2.4
5033419771124 27.7 11.0  0.009900  9.4-99.9-99.9-99.9 7.5 5312.9 53 10.7   0  0.020.5 3.8
